0.00100658,0,
0.00141486,0,
0.00141486,0.0323939,
0.00178986,0.0323939,
0.00178986,0,
0.00226699,0,
0.00226699,0.129545,
0.00280702,0.129545,
0.00280702,0.0324271,
0.00358297,0.0324271,
0.00358297,0.129233,
0.00449758,0.129233,
0.00449758,0.161955,
0.00566955,0.161955,
0.00566955,0,
0.00902493,0,
0.00902493,0.0645254,
0.0139782,0.0645254,
0.0139782,0.226096,
0.0178733,0.226096,
0.0178733,0.0325160,
0.0285538,0.0325160,
0.0285538,0,
0.0356525,0,
0.0356525,0.0642581,
0.0457513,0.0642581,
0.0457513,0.0325612,
0.0571930,0.0325612,
0.0571930,0,
1.0,0,
